item_id,domain_id,domain_label,scale_min,scale_max,scale_labels,item_stem
D13,behavioral,Behavioral economics,1,7,"1=Strongly Disagree;2=Disagree;3=Somewhat Disagree;4=Neutral;5=Somewhat Agree;6=Agree;7=Strongly Agree",A borrower who demonstrates responsible behaviour when managing financial risks is viewed more favourably during credit assessment.
D14,behavioral,Behavioral economics,1,7,"1=Strongly Disagree;2=Disagree;3=Somewhat Disagree;4=Neutral;5=Somewhat Agree;6=Agree;7=Strongly Agree",Behavioural information improves the assessment of creditworthiness beyond traditional financial records.
D15,behavioral,Behavioral economics,1,7,"1=Strongly Disagree;2=Disagree;3=Somewhat Disagree;4=Neutral;5=Somewhat Agree;6=Agree;7=Strongly Agree",Behavioural characteristics improve the quality of responsible lending decisions.
E16,readiness,Organizational readiness,1,7,"1=Strongly Disagree;2=Disagree;3=Somewhat Disagree;4=Neutral;5=Somewhat Agree;6=Agree;7=Strongly Agree",Organizational leadership supports the adoption of alternative creditworthiness assessment methods.
E17,readiness,Organizational readiness,1,7,"1=Strongly Disagree;2=Disagree;3=Somewhat Disagree;4=Neutral;5=Somewhat Agree;6=Agree;7=Strongly Agree",The organization has clear policies governing the responsible use of alternative borrower information.
E18,readiness,Organizational readiness,1,7,"1=Strongly Disagree;2=Disagree;3=Somewhat Disagree;4=Neutral;5=Somewhat Agree;6=Agree;7=Strongly Agree",The organization has adequate technological capability to implement alternative creditworthiness models.
E19,readiness,Organizational readiness,1,7,"1=Strongly Disagree;2=Disagree;3=Somewhat Disagree;4=Neutral;5=Somewhat Agree;6=Agree;7=Strongly Agree",Employees receive sufficient training to evaluate alternative creditworthiness indicators responsibly.
E20,readiness,Organizational readiness,1,7,"1=Strongly Disagree;2=Disagree;3=Somewhat Disagree;4=Neutral;5=Somewhat Agree;6=Agree;7=Strongly Agree",The organization is prepared to integrate alternative creditworthiness models into routine lending decisions while maintaining ethical and regulatory standards.
F21,inclusiveDecision,Inclusive decision-making,1,7,"1=Strongly Disagree;2=Disagree;3=Somewhat Disagree;4=Neutral;5=Somewhat Agree;6=Agree;7=Strongly Agree",Creditworthy borrowers should be considered for loan approval even when they have limited traditional financial documentation.
F22,inclusiveDecision,Inclusive decision-making,1,7,"1=Strongly Disagree;2=Disagree;3=Somewhat Disagree;4=Neutral;5=Somewhat Agree;6=Agree;7=Strongly Agree",Lending decisions should balance responsible risk management with financial inclusion.
F23,inclusiveDecision,Inclusive decision-making,1,7,"1=Strongly Disagree;2=Disagree;3=Somewhat Disagree;4=Neutral;5=Somewhat Agree;6=Agree;7=Strongly Agree",Fairness and ethical responsibility should be considered when making lending decisions.
F24,inclusiveDecision,Inclusive decision-making,1,7,"1=Strongly Disagree;2=Disagree;3=Somewhat Disagree;4=Neutral;5=Somewhat Agree;6=Agree;7=Strongly Agree",Alternative creditworthiness information can improve responsible lending decisions without compromising credit quality.
F25,inclusiveDecision,Inclusive decision-making,1,7,"1=Strongly Disagree;2=Disagree;3=Somewhat Disagree;4=Neutral;5=Somewhat Agree;6=Agree;7=Strongly Agree",Incorporating alternative creditworthiness indicators leads to more responsible and inclusive lending decisions.
